loggingTime(txt)|accelerometerTimestamp_sinceReboot(s)|accelerometerAccelerationX(G)|accelerometerAccelerationY(G)|accelerometerAccelerationZ(G)|motionTimestamp_sinceReboot(s)|motionYaw(rad)|motionRoll(rad)|motionPitch(rad)|motionRotationRateX(rad/s)|motionRotationRateY(rad/s)|motionRotationRateZ(rad/s)|motionUserAccelerationX(G)|motionUserAccelerationY(G)|motionUserAccelerationZ(G)|motionAttitudeReferenceFrame(txt)|motionQuaternionX(R)|motionQuaternionY(R)|motionQuaternionZ(R)|motionQuaternionW(R)|motionGravityX(G)|motionGravityY(G)|motionGravityZ(G)|motionMagneticFieldX(µT)|motionMagneticFieldY(µT)|motionMagneticFieldZ(µT)|motionHeading(°)|motionMagneticFieldCalibrationAccuracy(Z)|altimeterTimestamp_sinceReboot(s)|altimeterReset(bool)|altimeterRelativeAltitude(m)|altimeterPressure(kPa)|label
2021-02-11 18:53:22.402 +0000|34985.676988875|-0.990997314453125|1.548370361328125|0.7900543212890625|34985.671998875|-0.4287213188656982|-1.718499152360492|-0.451960974573232|1.653625726699829|-2.414512157440186|3.004781723022461|-0.1039769649505615|1.248587489128113|0.7710678577423096|XArbitraryZVertical|0.2999751393512265|0.6900795454349804|-0.03043269644608806|-0.6579353354634027|-0.8897973299026489|0.4367304444313049|0.1323897242546082|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.422 +0000|34985.696950875|-1.066497802734375|1.220779418945312|0.815521240234375|34985.691959875|-0.3912314371877093|-1.75460484850479|-0.5262141722914141|2.72107458114624|-2.95391583442688|3.692568302154541|-0.1361185908317566|0.8278606534004211|0.6458151340484619|XArbitraryZVertical|0.3074113135909613|0.6960765234831706|-0.07622168695288911|-0.6443338551159251|-0.8501484990119934|0.5022633075714111|0.1580484807491302|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.442 +0000|34985.716911875|-1.2445068359375|1.17572021484375|0.77880859375|34985.711921875|-0.3438860828321516|-1.791527802925355|-0.6158225829630749|2.899581670761108|-3.232579231262207|4.258798599243164|-0.3987582921981812|0.6714390516281128|0.6502562761306763|XArbitraryZVertical|0.3138928595900998|0.7005946564718296|-0.1312191829126118|-0.6272319712818744|-0.7964932322502136|0.5776301622390747|0.1787232011556625|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.462 +0000|34985.736872875|-1.27239990234375|0.38092041015625|0.712432861328125|34985.731882875|-0.303839151207565|-1.831987296571258|-0.7131601536921709|2.382830858230591|-3.253450870513916|4.43064022064209|-0.5569965243339539|0.178292453289032|0.5208408832550049|XArbitraryZVertical|0.3226211542832442|0.7025421868551706|-0.1873169793172151|-0.6060217790508092|-0.7306469082832336|0.654227077960968|0.1952998638153076|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.482 +0000|34985.756834875|-1.28399658203125|-0.3130950927734375|0.5603485107421875|34985.751843875|-0.2833185750806012|-1.880888099182075|-0.8074486220062346|1.82789409160614|-3.001646280288696|4.134459495544434|-0.5956726670265198|-0.6672125458717346|0.4037089347839355|XArbitraryZVertical|0.3341189609401805|0.702741045390911|-0.2376412328976413|-0.5814173936803356|-0.6583708524703979|0.7225256562232971|0.2109609097242355|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.502 +0000|34985.776795875|-1.3487548828125|-0.4954376220703125|0.45404052734375|34985.771805875|-0.2775316511706103|-1.929544540623613|-0.8857335482883119|1.678308606147766|-2.537548303604126|3.175549745559692|-0.7687957286834717|-1.703349590301514|-0.07079827785491943|XArbitraryZVertical|0.344467602394722|0.7017244118723487|-0.2776452491516743|-0.5584246911528595|-0.5924409031867981|0.7743793129920959|0.2221501618623734|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.522 +0000|34985.796757875|-1.291015625|-1.306808471679688|0.33251953125|34985.791766875|-0.2594475141340684|-1.957046629842012|-0.9477552063882108|1.061713695526123|-1.708520531654358|2.250918865203857|-0.8978042006492615|-1.874241352081299|0.2797704041004181|XArbitraryZVertical|0.3481105180439409|0.6990907943592204|-0.3111746518734638|-0.5415363933218674|-0.5405198931694031|0.8121076822280884|0.2198177427053452|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.542 +0000|34985.816718875|-1.112899780273438|-1.183029174804688|0.0198822021484375|34985.811728875|-0.2623419812598172|-1.989396440296305|-0.984513097051413|0.523185670375824|-1.390251040458679|1.213808178901672|-0.6649872064590454|-2.031641483306885|-0.1176855266094208|XArbitraryZVertical|0.3519096705327768|0.6990039510759787|-0.3301364794474193|-0.5277908296231832|-0.5054993033409119|0.8330028057098389|0.2248938828706741|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.562 +0000|34985.836679875|-1.11077880859375|-1.020263671875|0.0284423828125|34985.83168987501|-0.2464489426513831|-2.002887861598598|-1.005884061449843|1.163970589637756|-1.265847206115723|0.4299478828907013|-0.6524409055709839|-1.92866587638855|-0.228274866938591|XArbitraryZVertical|0.348576320216007|0.7004193989668799|-0.3448353478889438|-0.5186480212550402|-0.4861393868923187|0.844635546207428|0.2241855710744858|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.582 +0000|34985.85664187501|-1.014114379882812|-0.819549560546875|0.2188568115234375|34985.851650875|-0.201859476693497|-1.989263611967364|-1.018890888836095|1.448238253593445|-1.16157066822052|-0.2316290736198425|-0.5801804661750793|-1.747599482536316|-0.05914369225502014|XArbitraryZVertical|0.3381114397752345|0.7015769492670536|-0.3589543889322452|-0.5144143850224867|-0.4790693819522858|0.8515270352363586|0.21305912733078|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.602 +0000|34985.876602875|-0.8359527587890625|-0.7261810302734375|0.163818359375|34985.871612875|-0.1454319731429555|-1.963128965774491|-1.020519075939446|1.251005530357361|-1.047266364097595|-0.7546953558921814|-0.4363789260387421|-1.624977707862854|-0.01461920142173767|XArbitraryZVertical|0.3234062490379666|0.7038302767078374|-0.3697386452293619|-0.5131519085340471|-0.48319211602211|0.8523795604705811|0.1999373137950897|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.622 +0000|34985.896564875|-0.7431182861328125|-0.401336669921875|0.134674072265625|34985.891573875|-0.09883956073918815|-1.943433489312159|-1.010336227566074|0.6750960946083069|-0.9246348738670349|-1.08304750919342|-0.282585084438324|-1.45020580291748|-0.02025365829467773|XArbitraryZVertical|0.308261513841239|0.7083368434639118|-0.3748119812953501|-0.5125913183247723|-0.4950944185256958|0.847010612487793|0.1935324966907501|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.642 +0000|34985.916525875|-0.7093505859375|-0.0900726318359375|0.1884613037109375|34985.911535875|-0.06570232220184874|-1.931930827225594|-0.9914491659385331|0.3424449563026428|-0.7237069010734558|-1.316169619560242|-0.1981939673423767|-1.083020687103271|-0.06333185732364655|XArbitraryZVertical|0.2940965586013736|0.7143031407767737|-0.3746450863012069|-0.5127566281442588|-0.5121636986732483|0.8368202447891235|0.1934435218572617|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.662 +0000|34985.93648687501|-0.748046875|0.192626953125|0.3693695068359375|34985.931496875|-0.04350195910758364|-1.925923287193268|-0.9665765592485964|-0.05783911049365997|-0.5290560126304626|-1.439075708389282|-0.1926862001419067|-0.7694177627563477|0.1189724057912827|XArbitraryZVertical|0.2811284976504666|0.7209279653199879|-0.3703720078874574|-0.5138620598098612|-0.532670795917511|0.8229455947875977|0.1975407302379608|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.682 +0000|34985.956448875|-0.794097900390625|0.4510650634765625|0.3170166015625|34985.951457875|-0.03059755636598657|-1.924566095579573|-0.9383793899165016|-0.1268413811922073|-0.409395307302475|-1.450358510017395|-0.2151617407798767|-0.4952303171157837|0.1521563529968262|XArbitraryZVertical|0.2696440305573731|0.7277917089163466|-0.363156168019714|-0.5154891193018754|-0.5544916391372681|0.8066012263298035|0.2047773450613022|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.702 +0000|34985.976409875|-0.82769775390625|0.5789794921875|0.3218994140625|34985.971419875|-0.01916616286942511|-1.923181888487151|-0.9117580302424476|-0.2750551998615265|-0.3853068351745605|-1.283592343330383|-0.2415401935577393|-0.2524193525314331|0.08561918139457703|XArbitraryZVertical|0.2589638912762363|0.7339015113774813|-0.3561116805351857|-0.5172143889004733|-0.5747287273406982|0.7905815243721008|0.2113474458456039|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.722 +0000|34985.996370875|-0.8957061767578125|0.711639404296875|0.35992431640625|34985.991380875|-0.02406192366256353|-1.934691634947858|-0.8854375323676111|-0.9772481918334961|-0.3731458783149719|-1.081426501274109|-0.2749513387680054|-0.1251746416091919|0.1104609966278076|XArbitraryZVertical|0.2520433294987702|0.7410217387426237|-0.3465405235979011|-0.5169822893841931|-0.5915037989616394|0.7741919755935669|0.2252781093120575|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.743 +0000|34986.016332875|-0.9426116943359375|0.9216461181640625|0.4508514404296875|34986.011342875|-0.0478711927987411|-1.960496549636324|-0.8576605904490184|-1.341424942016602|-0.3607543110847473|-0.9445726871490479|-0.3130243420600891|0.07338249683380127|0.1734406799077988|XArbitraryZVertical|0.249541771112417|0.749666240396109|-0.3331656353888537|-0.5145192973155633|-0.6051580309867859|0.7563141584396362|0.2485411316156387|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.762 +0000|34986.036293875|-0.935028076171875|0.921539306640625|0.51678466796875|34986.031303875|-0.07416542871754828|-1.987626714414248|-0.8319572316772091|-1.245831727981567|-0.4119093716144562|-0.7387958765029907|-0.3085473775863647|0.170035719871521|0.2193107604980469|XArbitraryZVertical|0.248698645658042|0.7579399175498091|-0.3199367295993824|-0.5111913808079356|-0.6157690286636353|0.7392508387565613|0.2726478576660156|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.782 +0000|34986.056255875|-0.896728515625|0.9532318115234375|0.52435302734375|34986.051264875|-0.09611703205653739|-2.012098371290918|-0.8109470804345026|-0.9883706569671631|-0.4368721842765808|-0.5627042651176453|-0.316997766494751|0.2405601143836975|0.2313243448734283|XArbitraryZVertical|0.2481589999268174|0.7651920706276899|-0.309193574736021|-0.5072451868346314|-0.6228216290473938|0.7249398827552795|0.2942035794258118|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.802 +0000|34986.076216875|-0.8253173828125|0.9808197021484375|0.507232666015625|34986.071226875|-0.1138075855835281|-2.0346536507613|-0.7940440484984865|-0.9130118489265442|-0.5562394261360168|-0.4334072768688202|-0.2206055521965027|0.2027912735939026|0.2049717605113983|XArbitraryZVertical|0.2475418701401275|0.7717057283628885|-0.3008436368405596|-0.5026792531301154|-0.6268981099128723|0.7131938338279724|0.3136134147644043|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.822 +0000|34986.096177875|-0.7625274658203125|1.15875244140625|0.4363861083984375|34986.091187875|-0.130155490173304|-2.057003674809581|-0.7790509493177999|-0.7277187705039978|-0.496071070432663|-0.3705578446388245|-0.1974518895149231|0.4064197540283203|0.1291041672229767|XArbitraryZVertical|0.2471036963323819|0.7779409784885212|-0.2935281396596441|-0.4975831541393184|-0.6291168928146362|0.7026044130325317|0.3325048089027405|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.841 +0000|34986.116139875|-0.67608642578125|0.979736328125|0.47314453125|34986.111149875|-0.1404019011661634|-2.074383312253553|-0.7673408789883193|-0.5470790266990662|-0.5358707904815674|-0.3144984841346741|-0.07126891613006592|0.3974358439445496|0.1141217947006226|XArbitraryZVertical|0.2459298211165287|0.7830618072358035|-0.2884097073389204|-0.4931051345565644|-0.6304064989089966|0.6942237615585327|0.3473345339298248|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.861 +0000|34986.136100875|-0.643341064453125|0.9823455810546875|0.440704345703125|34986.131110875|-0.1501789968241226|-2.092150422241543|-0.7565472139431046|-0.5600758194923401|-0.5507428646087646|-0.281513899564743|-0.02852129936218262|0.2564717531204224|0.0828930139541626|XArbitraryZVertical|0.2448319642364744|0.7881323843916321|-0.2838040311593792|-0.4882212684892736|-0.6305974125862122|0.6864146590232849|0.3621906936168671|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.881 +0000|34986.156062875|-0.5792999267578125|0.9890289306640625|0.463043212890625|34986.151071875|-0.1563301362498974|-2.107854289569813|-0.7486005623292725|-0.1888019442558289|-0.6196128129959106|-0.1740138977766037|0.02827227115631104|0.3296245336532593|0.09027588367462158|XArbitraryZVertical|0.2433091547483855|0.7925997397680947|-0.2809746832738246|-0.4833628608766827|-0.6294991374015808|0.6806141138076782|0.3748273849487305|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.901 +0000|34986.176023875|-0.5494842529296875|0.9309539794921875|0.4102935791015625|34986.17103387501|-0.1540873195399085|-2.119735245448559|-0.746496492847913|0.2626444399356842|-0.6879928708076477|-0.05840136110782623|0.05937278270721436|0.2694762349128723|0.05152899026870728|XArbitraryZVertical|0.2402918602690745|0.7960985127933023|-0.2820854748070364|-0.4784503529822176|-0.6262215375900269|0.6790711283683777|0.3830260336399078|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.921 +0000|34986.19598587501|-0.5314483642578125|0.9189300537109375|0.3889923095703125|34986.190994875|-0.1439907224584238|-2.12764468040934|-0.7512680936822648|0.5833537578582764|-0.793285071849823|0.08879972249269485|0.0837174654006958|0.2363945841789246|0.01175999641418457|XArbitraryZVertical|0.2361633801634088|0.7983432867319216|-0.2873959754227033|-0.4735805491275448|-0.6204149127006531|0.6825660467147827|0.3862502872943878|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.941 +0000|34986.215946875|-0.518310546875|0.960479736328125|0.3643035888671875|34986.210956875|-0.1303168911625853|-2.135363364205348|-0.760353984536648|0.7814111709594727|-0.8736447691917419|0.169835090637207|0.08724778890609741|0.2327579855918884|-0.01475292444229126|XArbitraryZVertical|0.2315122652496653|0.8001553485798486|-0.2952592495878179|-0.4679480953148244|-0.6121500730514526|0.6891779899597168|0.3876930177211761|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.961 +0000|34986.235907875|-0.5200653076171875|1.007675170898438|0.3426055908203125|34986.230917875|-0.1136892689293234|-2.141664807896902|-0.7737872494670575|0.9331769943237305|-0.9017130136489868|0.3301948606967926|0.08341771364212036|0.2957187294960022|-0.03192120790481567|XArbitraryZVertical|0.2267642145671083|0.8011432352176847|-0.3053722516550436|-0.4620555311989468|-0.6018503308296204|0.6988491415977478|0.3865049779415131|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:22.981 +0000|34986.255869875|-0.4998321533203125|0.937744140625|0.34564208984375|34986.25087887501|-0.09746755731665169|-2.148101549840883|-0.7908762364234354|0.9840057492256165|-0.8544431328773499|0.5031766295433044|0.07526350021362305|0.2651350498199463|-0.0495983362197876|XArbitraryZVertical|0.2228833460244205|0.8013870321689991|-0.3168288578225977|-0.4557645557901566|-0.5892558693885803|0.7109697461128235|0.3837963342666626|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:23.001 +0000|34986.27583087501|-0.4810791015625|0.8632354736328125|0.3810272216796875|34986.270840875|-0.08395666490951044|-2.155080465274873|-0.8109950094819404|0.8877115249633789|-0.8128412961959839|0.6692248582839966|0.08678227663040161|0.1697262525558472|-0.008120447397232056|XArbitraryZVertical|0.2205843558700403|0.8008172067853291|-0.3288873133419266|-0.4492966719703696|-0.5745142102241516|0.7249728441238403|0.3799313008785248|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:23.021 +0000|34986.295791875|-0.48150634765625|0.8419342041015625|0.420135498046875|34986.290801875|-0.07726767389415906|-2.166002125432796|-0.8323471430235018|0.7065650820732117|-0.7424236536026001|0.877078115940094|0.07743376493453979|0.1071814894676208|0.02349284291267395|XArbitraryZVertical|0.2205357251614839|0.8000451666185119|-0.3402900066309387|-0.442147449527077|-0.55738365650177|0.7395133376121521|0.3774165511131287|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:23.041 +0000|34986.315753875|-0.479766845703125|0.8417816162109375|0.4261322021484375|34986.310762875|-0.07787782607892127|-2.180182462451226|-0.8553414727557003|0.5789643526077271|-0.6192189455032349|1.034494638442993|0.05075091123580933|0.08767354488372803|0.05275878310203552|XArbitraryZVertical|0.2230464153043721|0.7987331640502688|-0.3510896287353168|-0.4347550095472126|-0.5378879308700562|0.7547949552536011|0.3754487335681915|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:23.061 +0000|34986.335714875|-0.4785919189453125|0.856964111328125|0.4127197265625|34986.330724875|-0.08365083878471399|-2.195778702138439|-0.879419722171029|0.5599897503852844|-0.4715720117092133|1.168175935745239|0.03323441743850708|0.07006996870040894|0.03362920880317688|XArbitraryZVertical|0.2273993343992706|0.7967518942589162|-0.3613932838503703|-0.4276341837759834|-0.5170754790306091|0.7703690528869629|0.3730480670928955|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:23.081 +0000|34986.355676875|-0.51025390625|0.914276123046875|0.4171600341796875|34986.350685875|-0.09341850756666853|-2.211403321608715|-0.9049354401142843|0.4490800201892853|-0.3256547451019287|1.246276617050171|0.009420067071914673|0.09563398361206055|0.05113890767097473|XArbitraryZVertical|0.2334004952416217|0.7938068687510057|-0.3714872055756224|-0.4211796648540247|-0.4952600300312042|0.7863852977752686|0.36921027302742|0|0|0|-1|-1|634762400.5380095|0|5.360001|99.94897|3
2021-02-11 18:53:23.101 +0000|34986.375637875|-0.57012939453125|0.965545654296875|0.445526123046875|34986.370647875|-0.1098243591250401|-2.229876110350645|-0.928996921940542|0.2359946966171265|-0.1950441747903824|1.281521677970886|-0.06720951199531555|0.1511591672897339|0.0588458776473999|XArbitraryZVertical|0.2409745053976273|0.7907155701459877|-0.3800206167449412|-0.415071764435911|-0.4732568562030792|0.8010198473930359|0.3665996491909027|0|0|0|-1|-1|634762403.0928035|0|5.330002|99.94939|3
2021-02-11 18:53:23.121 +0000|34986.395598875|-0.5661163330078125|0.9099578857421875|0.4629669189453125|34986.390608875|-0.1347117191781709|-2.252834680347495|-0.9498273541758001|-0.1240931823849678|-0.1060380712151527|1.251903057098389|-0.1231808960437775|0.1253904104232788|0.08846268057823181|XArbitraryZVertical|0.250172863039071|0.7879070684549333|-0.3861831248297437|-0.4092415090124799|-0.4516634941101074|0.8133150935173035|0.3667680323123932|0|0|0|-1|-1|634762403.0928035|0|5.330002|99.94939|3
2021-02-11 18:53:23.141 +0000|34986.415560875|-0.5343017578125|0.916595458984375|0.44140625|34986.410569875|-0.1717052936015724|-2.285623775239866|-0.9633848806384095|-0.5980638265609741|-0.1305458098649979|1.164674162864685|-0.1185614168643951|0.07402890920639038|0.08535721898078918|XArbitraryZVertical|0.2607066759799662|0.7868226004663121|-0.3884024664076947|-0.4025989942594162|-0.431029736995697|0.8211281895637512|0.3741155564785004|0|0|0|-1|-1|634762403.0928035|0|5.330002|99.94939|3
2021-02-11 18:53:23.161 +0000|34986.435521875|-0.513427734375|1.05181884765625|0.3538818359375|34986.430531875|-0.218322090115409|-2.327052374213408|-0.968988165612178|-0.9542815685272217|-0.1662340462207794|1.029313802719116|-0.1120377480983734|0.1520203948020935|0.01027512550354004|XArbitraryZVertical|0.2719122529735106|0.7875945582041337|-0.3869316539288014|-0.3950222346670628|-0.4118117988109589|0.8243132829666138|0.388482928276062|0|0|0|-1|-1|634762403.0928035|0|5.330002|99.94939|3
2021-02-11 18:53:23.181 +0000|34986.455483875|-0.5249176025390625|1.202911376953125|0.27886962890625|34986.450492875|-0.2681398864667984|-2.372169951189178|-0.9676179493090723|-1.065828680992126|-0.2087914496660233|0.852153480052948|-0.1230743527412415|0.3156232833862305|-0.09500235319137573|XArbitraryZVertical|0.2826804799201742|0.789827604886795|-0.3828783331235481|-0.3868697418352304|-0.3946563303470612|0.8235368132591248|0.4074718058109283|0|0|0|-1|-1|634762403.0928035|0|5.330002|99.94939|3
