loggingTime(txt)|loggingSample(N)|accelerometerTimestamp_sinceReboot(s)|accelerometerAccelerationX(G)|accelerometerAccelerationY(G)|accelerometerAccelerationZ(G)|gyroTimestamp_sinceReboot(s)|gyroRotationX(rad/s)|gyroRotationY(rad/s)|gyroRotationZ(rad/s)|motionTimestamp_sinceReboot(s)|motionYaw(rad)|motionRoll(rad)|motionPitch(rad)|motionRotationRateX(rad/s)|motionRotationRateY(rad/s)|motionRotationRateZ(rad/s)|motionUserAccelerationX(G)|motionUserAccelerationY(G)|motionUserAccelerationZ(G)|motionAttitudeReferenceFrame(txt)|motionQuaternionX(R)|motionQuaternionY(R)|motionQuaternionZ(R)|motionQuaternionW(R)|motionGravityX(G)|motionGravityY(G)|motionGravityZ(G)|motionMagneticFieldX(µT)|motionMagneticFieldY(µT)|motionMagneticFieldZ(µT)|motionHeading(°)|motionMagneticFieldCalibrationAccuracy(Z)|activityTimestamp_sinceReboot(s)|activity(txt)|activityActivityConfidence(Z)|activityActivityStartDate(txt)|deviceID(txt)|deviceOrientationTimeStamp_since1970(s)|deviceOrientation(Z)|label(N)
2021-02-05 14:20:59.254 +0000|15|5229.432292250001|-0.1601715087890625|-0.394378662109375|-0.784027099609375|5229.432292250001|-0.3657686710357666|1.079952597618103|0.476360410451889|5229.42224025|-0.8336056394478303|0.008403142771889234|0.3277296796624158|-0.3837113678455353|0.8651310205459595|0.3306449353694916|-0.1670134216547012|-0.07835891842842102|0.1495925188064575|XArbitraryCorrectedZVertical|-0.1508432286676275|0.06225142623634159|0.3987856494689399|-0.9024085054129561|0.007955797016620636|-0.3218943774700165|-0.9467421770095825|-32.60522079467773|-45.84506225585938|-123.6703186035156|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
2021-02-05 14:20:59.295 +0000|16|5229.472499250001|0.0472259521484375|-0.03338623046875|-1.20391845703125|5229.472499250001|-0.272642970085144|-0.1375203132629395|0.1154064834117889|5229.44736825|-0.8206036811155794|0.03105603544892502|0.3187076885834394|-0.3490653932094574|1.061633229255676|0.543515682220459|-0.07648442685604095|0.02688634395599365|0.1370494365692139|XArbitraryCorrectedZVertical|-0.1516075282931651|0.04922950490828305|0.3915253867993056|-0.9062557503155084|0.02948734909296036|-0.3133395910263062|-0.9491832256317139|-32.32683563232422|-45.68614959716797|-123.8605041503906|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
2021-02-05 14:20:59.339 +0000|17|5229.512706250001|-0.047454833984375|-0.22650146484375|-0.967193603515625|5229.512706250001|-0.774367094039917|-1.717861175537109|-0.6554574966430664|5229.49762625|-0.8105122305202911|0.0164600063919447|0.3049708133750007|-0.2922166585922241|-1.743836164474487|-0.1343342214822769|0.05758818984031677|-0.04703995585441589|-0.3266384601593018|XArbitraryCorrectedZVertical|-0.1427941709792403|0.05240772019675553|0.3885174146655523|-0.9088000925019029|0.01569976285099983|-0.3002653419971466|-0.9537265300750732|-31.99092102050781|-45.73023223876953|-124.2567825317383|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
2021-02-05 14:20:59.375 +0000|18|5229.55291225|-0.364715576171875|-0.1723175048828125|-0.873046875|5229.55291225|-2.637853860855103|-3.980898141860962|-1.850212454795837|5229.54788525|-0.8648063953416798|-0.08316327331845451|0.2412213555335092|-2.522840261459351|-3.73041558265686|-1.702220559120178|-0.2881120443344116|0.06988245248794556|0.08783864974975586|XArbitraryCorrectedZVertical|-0.09185670346880861|0.08784579409188444|0.4201913887562466|-0.8984902526760596|-0.08066238462924957|-0.2388888001441956|-0.9676909446716309|-33.63563919067383|-45.20141983032227|-124.8351440429688|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
2021-02-05 14:20:59.415 +0000|19|5229.59311925|-0.1622314453125|-0.31182861328125|-1.386062622070312|5229.59311925|1.522936344146729|-2.593743562698364|-1.804385900497437|5229.57301625|-0.9119893773062582|-0.1582906111158844|0.2027947297423842|-0.1630511283874512|-2.438084840774536|-1.352367877960205|0.05215100944042206|-0.6419762372970581|0.0453258752822876|XArbitraryCorrectedZVertical|-0.05595964281869059|0.1150546533670374|0.4439077140395717|-0.8868916174096371|-0.1544001847505569|-0.2014075666666031|-0.9672619104385376|-35.37253952026367|-43.928955078125|-126.2821197509766|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
2021-02-05 14:20:59.460 +0000|20|5229.63332625|-0.25341796875|-0.418853759765625|-0.938995361328125|5229.59311925|1.522936344146729|-2.593743562698364|-1.804385900497437|5229.623274250001|-0.9815443790775839|-0.2645089894157435|0.2802705896916186|1.15155553817749|-2.197263240814209|-1.579155683517456|-0.001008719205856323|-0.1386064887046814|-0.007332086563110352|XArbitraryCorrectedZVertical|-0.06057340670260691|0.1804204231078755|0.478856469081209|-0.8570156630697719|-0.2512343227863312|-0.2766156792640686|-0.9275586605072021|-37.80529403686523|-45.31515502929688|-125.3447723388672|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
2021-02-05 14:20:59.496 +0000|21|5229.67353225|-0.4933929443359375|-0.481170654296875|-0.760894775390625|5229.67353225|0.5114523768424988|-2.420805215835571|-2.438872814178467|5229.64840125|-1.013288447938171|-0.3127331276999184|0.3176503725799043|1.072485327720642|-2.566848278045654|-1.703326106071472|-0.07147035002708435|-0.1785246431827545|-0.06245964765548706|XArbitraryCorrectedZVertical|-0.06198662429797384|0.2102624670411173|0.4948286351780378|-0.8408875847906974|-0.292268693447113|-0.312335342168808|-0.9038947224617004|-38.43011474609375|-46.52210235595703|-124.3810729980469|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
2021-02-05 14:20:59.536 +0000|22|5229.71373925|-0.4354705810546875|-0.424468994140625|-0.7981414794921875|5229.67353225|0.5114523768424988|-2.420805215835571|-2.438872814178467|5229.69866025|-1.118943546340041|-0.3939653278802882|0.3840144048921223|0.1293203979730606|-1.841630697250366|-2.470937967300415|-0.0727384090423584|-0.05879566073417664|0.04077303409576416|XArbitraryCorrectedZVertical|-0.05664450155149484|0.2621460429860056|0.5425635759577846|-0.7960500578524989|-0.3558962643146515|-0.3746455013751984|-0.8561416864395142|-38.81460952758789|-49.12358093261719|-121.8907012939453|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
2021-02-05 14:20:59.579 +0000|23|5229.75394625|-0.47186279296875|-0.24017333984375|-0.543914794921875|5229.71373925|0.2959997057914734|-1.758023738861084|-2.149491786956787|5229.74891825|-1.225241718626948|-0.4465024600008313|0.4392124679087769|-0.01813363283872604|-1.897351503372192|-2.352029800415039|-0.08436048030853271|0.1807047128677368|0.2618808746337891|XArbitraryCorrectedZVertical|-0.04955440895082604|0.2989431224441914|0.586736319531128|-0.7509446569604659|-0.3908287286758423|-0.4252268075942993|-0.8163547515869141|-37.27791595458984|-50.72721099853516|-120.9857330322266|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
2021-02-05 14:20:59.616 +0000|24|5229.794149916667|-0.308258056640625|-0.1090850830078125|-0.381927490234375|5229.75394625|-0.1256655156612396|-1.770724058151245|-2.392274618148804|5229.774049250001|-1.289312060083649|-0.4608032925321236|0.4585754219970913|-0.5800615549087524|-1.640616893768311|-2.409321308135986|0.06068325042724609|0.3171218633651733|0.3394108414649963|XArbitraryCorrectedZVertical|-0.0432283941955276|0.3107303203006857|0.611220123331246|-0.7266278567132944|-0.3987264931201935|-0.442671149969101|-0.8031559586524963|-36.20748138427734|-51.24491500854492|-120.707633972168|-1|1|5220.38669|unknown|2|2021-02-05 14:20:50.184 +0000|my_iOS_device|0|5|0
